MessageDate,arbitrarytext,coin,difficulty,height,minedat,orphanedyn,paidoutat,poolcode,reward,size,txcount,wallet,
2018-11-23,/coingeek.com/hp,BSP,482273572895.3896,557847,2018-11-23 10:00:21.14785+00,f,2018-11-23 10:35:37.12043+00,CG-BSP,12.50147501,0,1,1HyVj7fZiHcwvGkyVuBdHCZHVQdvVtwZvj,
2019-01-06,/coingeek.com/lk,BSP,131301387471.46007,563565,2019-01-03 03:45:35.41666+00,f,,CG-BSP,12.52841824,0,1,1MNRjZvmz1wySaQQmnyL6AgszZHxfQxW2q,
2018-11-21,/coingeek.com/hp,BSV,561358158056.576,557553,2018-11-21 06:04:28.58921+00,f,2018-11-21 16:01:22.25853+00,CG-BSV,12.50010081,1396,1,1HyVj7fZiHcwvGkyVuBdHCZHVQdvVtwZvj,
2018-12-09,ISBNB5OPSC,BSP,187923133264.22183,560044,2018-12-09 08:29:44.22662+00,f,2018-12-09 09:02:02.85649+00,ANON-BSP,12.50042848,0,1,1DrNXqCj2B8FKyx66RAWDkiEJhw2yrvhT3,
2018-11-21,/coingeek.com/g1f,BSP,568973370232.0709,557630,2018-11-21 19:30:46.95032+00,f,2018-11-21 20:28:39.39272+00,CG-BSP,12.50447004,434793,1,1QDYkB3uDAcebj3jfLZMQE6rAeV9xApKsV,
2018-11-25,/coingeek.com/hp,BSV,341827220971.2623,557370,2018-11-20 07:30:02.43802+00,f,2018-11-21 15:52:43.46065+00,CG-BSV,12.50181514,180498,933,1HyVj7fZiHcwvGkyVuBdHCZHVQdvVtwZvj,
2018-11-25,mmajq1zs9,BTC,6653303141405.96,551400,2018-11-25 01:22:35.1068+00,f,2018-11-25 02:02:42.44587+00,BMG-BTC,12.59781008,441405,1028,1CAUceRNgaAat55wKJJsJRohKvP57ocFim,
2018-12-11,/bmgpool.com/1dk,BSP,170221171966.4742,560403,2018-12-11 23:07:46.45726+00,f,2018-12-11 23:55:26.89792+00,CG-BMG-BSP-MIXUP,12.50027502,0,1,1DkmRkb5iQFkDu4NBysog5bugnsyx7kwtn,
2018-12-02,ISBNB5OPSC,BSP,200168049686.9275,559137,2018-12-02 23:26:05.18838+00,f,2018-12-02 23:55:16.76282+00,ANON-BSP,12.50121376,0,1,1DrNXqCj2B8FKyx66RAWDkiEJhw2yrvhT3,
2018-11-24,/coingeek.com/hp,BSP,379160893519.8544,558034,2018-11-24 19:03:16.38223+00,f,2018-11-24 19:46:59.83405+00,CG-BSP,12.50015969,0,1,1HZttiVk4HikBAHnpdoV7DHKkD69JQH98o,
2018-11-23,/coingeek.com/hp,BSP,512205052113.67834,557801,2018-11-23 00:47:52.16539+00,f,2018-11-23 01:42:37.18581+00,CG-BSP,12.50023010,0,1,14mnwRBbt1UstJzunnepRA41k8iP6iH2x6,
2018-11-25,/bmgpool.com/sdt,BSV,349997787641.6509,557478,2018-11-20 19:54:52.89798+00,f,2018-11-21 15:58:07.64235+00,BMG-BSV,12.50013377,10202,1,12UEsubEv9AvYzopMZQDUuiE274cN7zdEG,
2018-12-23,/coingeek.com/g1f,BSP,149357529337.76666,561931,2018-12-22 17:34:49.17265+00,f,,CG-BSP,12.50024768,0,1,1QDYkB3uDAcebj3jfLZMQE6rAeV9xApKsV,
2018-11-21,/coingeek.com/hp,BSV,574471179583.1984,557613,2018-11-21 16:15:10.82146+00,f,2018-11-21 16:30:57.18342+00,CG-BSV,12.50135853,35872,1,1HZttiVk4HikBAHnpdoV7DHKkD69JQH98o,
2018-11-23,/coingeek.com/hp,BSP,433479886218.3276,557901,2018-11-23 21:09:14.56659+00,f,2018-11-23 22:36:02.18879+00,CG-BSP,12.50000000,0,1,1HZttiVk4HikBAHnpdoV7DHKkD69JQH98o,
2018-11-25,/coingeek.com/hp,BSV,438385175498.27313,557235,2018-11-19 03:03:01.70801+00,f,2018-11-21 15:47:03.99091+00,CG-BSV,12.54065973,4043325,21098,1HZttiVk4HikBAHnpdoV7DHKkD69JQH98o,
2018-11-21,/coingeek.com/g1f,BSP,555747044326.9562,557653,2018-11-21 22:27:06.72762+00,f,2018-11-21 23:16:27.61637+00,CG-BSP,12.50010288,6214,1,1QDYkB3uDAcebj3jfLZMQE6rAeV9xApKsV,
2018-11-25,/coingeek.com/hp,BSV,529640233787.34094,557532,2018-11-21 03:58:08.31453+00,f,2018-11-21 16:00:31.582+00,CG-BSV,12.50030713,17174,1,1HZttiVk4HikBAHnpdoV7DHKkD69JQH98o,
2018-11-25,/coingeek.com/hp,BSP,483153150278.9374,557852,2018-11-23 10:35:29.59031+00,f,2018-11-23 11:35:54.82037+00,CG-BSP,12.50177001,0,1,1HZttiVk4HikBAHnpdoV7DHKkD69JQH98o,
2018-11-25,/coingeek.com/hp,BSP,371524813487.63666,558011,2018-11-24 15:27:12.96412+00,f,2018-11-24 16:48:50.85723+00,CG-BSP,12.50002080,0,1,1HZttiVk4HikBAHnpdoV7DHKkD69JQH98o,
2018-12-16,/coingeek.com/g1f,BSP,148080662318.76944,561073,2018-12-16 17:51:55.67788+00,f,2018-12-16 18:42:33.85739+00,CG-BSP,12.50041394,0,1,1QDYkB3uDAcebj3jfLZMQE6rAeV9xApKsV,
2018-12-30,mmajq1zs9,BTC,5106422924659.822,555382,2018-12-25 06:59:02.94869+00,f,,BMG-BTC,12.56949230,649058,1446,1CAUceRNgaAat55wKJJsJRohKvP57ocFim,
2018-11-25,/coingeek.com/hp,BSP,408104112538.79706,558094,2018-11-25 05:12:09.81862+00,f,2018-11-25 05:59:39.19857+00,CG-BSP,12.50021735,0,1,1HZttiVk4HikBAHnpdoV7DHKkD69JQH98o,
2018-12-23,ISBNB5OPSC,BSP,159452300345.87332,562089,2018-12-23 19:23:21.32621+00,f,,ANON-BSP,12.50007159,0,1,1DrNXqCj2B8FKyx66RAWDkiEJhw2yrvhT3,
2018-12-23,rr6f5kha0m,BTC,5106422924659.822,555143,2018-12-23 18:52:17.08337+00,f,,CG-BTC,12.63930705,1220777,3081,1AEHme2G7TfWZp6LRJaziN7RdjrMdrX9VQ,
2018-12-12,ISBNB5OPSC,BSP,191923414747.0732,560504,2018-12-12 13:40:36.44983+00,f,2018-12-12 14:35:57.07312+00,ANON-BSP,12.50013634,0,1,1DrNXqCj2B8FKyx66RAWDkiEJhw2yrvhT3,
2018-11-25,/coingeek.com/g1f,BSP,555747044326.9562,557653,2018-11-21 22:27:06.72762+00,f,2018-11-21 23:16:27.61637+00,CG-BSP,12.50010288,6214,1,1QDYkB3uDAcebj3jfLZMQE6rAeV9xApKsV,
2018-12-24,ISBNB5OPSC,BSP,154260226769.4979,562143,2018-12-24 04:08:54.61161+00,f,,ANON-BSP,12.50124966,0,1,1DrNXqCj2B8FKyx66RAWDkiEJhw2yrvhT3,
2018-12-16,rrzskpkhxglp,BTC,5646403851534.721,553564,2018-12-12 21:03:01.62136+00,f,2018-12-12 22:14:11.39052+00,CG-BTC-TEMP,12.86209086,1285519,2706,1BDKvVwu1Gc3cpmF5vwboa3P3be2GLv5a1,
2018-11-25,/coingeek.com/hp,BSV,436684854833.1,557232,2018-11-19 02:29:44.85522+00,f,2018-11-21 15:46:51.35462+00,CG-BSV,12.52204215,2192986,11086,1HZttiVk4HikBAHnpdoV7DHKkD69JQH98o,
2018-12-23,ISBNB5OPSC,BSP,156410277923.5019,561971,2018-12-22 23:31:18.58434+00,f,,ANON-BSP,12.50008192,0,1,1DrNXqCj2B8FKyx66RAWDkiEJhw2yrvhT3,
2018-11-25,/coingeek.com/g1f,BSP,372308021733.4926,558010,2018-11-24 15:24:32.54044+00,f,2018-11-24 16:43:29.94834+00,CG-BSP,12.50012584,0,1,1Ay58vviKUCifNYP5sqbgBeZ1s9AbGhg1f,
2018-12-30,ISBNB5OPSC,BSP,134955704668.05417,562448,2018-12-26 09:32:31.58104+00,f,,ANON-BSP,12.50010306,0,1,1DrNXqCj2B8FKyx66RAWDkiEJhw2yrvhT3,
2018-11-25,/coingeek.com/g1f,BSP,577653475439.3151,557665,2018-11-22 00:23:46.41338+00,f,2018-11-22 01:27:42.96594+00,CG-BSP,12.50075965,7840,1,1BnGdGkB6nWdUnBtCXasxx9wozMcfNvFZX,
2018-12-16,/bmgpool.com/1dk,BSP,185482196154.00497,560545,2018-12-12 21:42:43.0666+00,f,2018-12-12 22:27:00.37558+00,CG-BMG-BSP-MIXUP,12.50022972,0,1,1DkmRkb5iQFkDu4NBysog5bugnsyx7kwtn,
